Date,Quantite
2004-05-11,2.794
2004-05-13,2.794
2004-05-18,3.048
2004-05-20,4.826
2004-05-23,2.540
2004-05-24,14.478
2004-05-25,2.794
2004-05-26,1.524
2004-05-27,1.778
2004-05-28,8.890
2004-06-01,10.160
2004-06-02,2.286
2004-06-07,0.254
2004-06-09,0.254
2004-06-14,0.254
2004-06-15,21.336
2004-06-18,5.842
2004-06-19,8.128
2004-06-22,3.556
2004-06-25,17.780
2004-06-29,1.270
2004-07-01,11.430
2004-07-02,0.762
2004-07-05,0.254
2004-07-08,36.576
2004-07-09,2.032
2004-07-10,3.302
2004-07-12,11.176
2004-07-15,22.098
2004-07-16,7.620
2004-07-17,0.254
2004-07-18,0.254
2004-07-19,0.508
2004-07-20,0.254
2004-07-22,0.254
2004-07-23,63.500
2004-07-28,0.254
2004-07-31,34.798
2004-08-01,11.176
2004-08-03,1.270
2004-08-04,0.254
2004-08-07,8.128
2004-08-08,1.016
2004-08-11,11.684
2004-08-12,60.960
2004-08-13,32.766
2004-08-18,0.508
2004-08-19,9.144
2004-08-21,8.382
2004-08-28,0.508
2004-08-29,31.496
2004-08-30,14.986
2004-08-31,37.846
2004-09-04,2.032
2004-09-07,4.826
2004-09-08,3.302
2004-09-09,40.640
2004-09-10,2.286
2004-09-25,0.508
2004-10-02,5.334
2004-10-04,0.762
2004-10-11,0.254
2004-10-15,6.858
2004-10-16,22.860
2004-10-17,3.556
2004-10-18,1.016
2004-10-30,1.016
2004-10-31,5.080
2004-11-02,8.890
2004-11-03,1.778
2004-11-04,2.794
2004-11-05,5.842
2004-11-06,8.128
2004-11-07,0.254
2004-11-08,0.762
2004-11-11,0.254
2004-11-12,0.254
2004-11-19,0.508
2004-11-20,1.270
2004-11-21,3.302
2004-11-24,8.382
2004-11-25,24.130
2004-11-28,12.700
2004-12-01,24.892
2004-12-03,1.778
2004-12-04,0.254
2004-12-05,1.016
2004-12-07,3.302
2004-12-08,9.144
2004-12-10,2.032
2004-12-11,3.048
2004-12-12,0.254
2004-12-13,7.112
2004-12-19,1.270
2004-12-22,1.778
2004-12-23,17.272
2004-12-29,1.270
2004-12-30,0.254
2004-12-31,7.620
2005-01-01,1.270
2005-01-02,2.540
2005-01-03,2.286
2005-01-06,0.254
2005-01-07,1.270
2005-01-08,1.016
2005-01-10,1.270
2005-01-12,0.254
2005-01-13,0.254
2005-01-14,16.002
2005-01-26,0.254
2005-01-28,0.254
2005-01-29,0.508
