Date,Quantite
2004-05-10,1.100
2004-05-11,3.600
2004-05-14,0.900
2004-05-18,11.100
2004-05-20,7.900
2004-05-21,0.400
2004-05-23,4.200
2004-05-24,24.600
2004-05-25,8.800
2004-05-26,2.900
2004-05-27,3.200
2004-05-28,12.400
2004-06-01,17.200
2004-06-02,3.700
2004-06-03,0.200
2004-06-07,0.400
2004-06-15,14.200
2004-06-18,5.800
2004-06-19,13.200
2004-06-22,4.400
2004-06-25,15.500
2004-06-27,0.600
2004-06-29,3.100
2004-07-01,9.100
2004-07-02,0.900
2004-07-03,0.100
2004-07-05,2.100
2004-07-08,22.900
2004-07-09,2.700
2004-07-12,12.000
2004-07-15,26.000
2004-07-16,18.000
2004-07-18,0.600
2004-07-19,0.200
2004-07-20,0.600
2004-07-23,33.400
2004-07-28,0.100
2004-07-31,21.500
2004-08-01,7.100
2004-08-03,1.200
2004-08-04,0.500
2004-08-05,0.100
2004-08-07,10.100
2004-08-08,1.700
2004-08-11,7.600
2004-08-12,41.000
2004-08-13,16.400
2004-08-14,0.100
2004-08-16,0.100
2004-08-18,0.100
2004-08-19,10.700
2004-08-20,0.200
2004-08-21,10.200
2004-08-27,0.300
2004-08-28,0.200
2004-08-29,25.100
2004-08-30,9.400
2004-08-31,22.400
2004-09-04,2.100
2004-09-07,6.500
2004-09-08,4.200
2004-09-09,24.000
2004-09-10,9.100
2004-09-12,0.100
2004-09-17,1.200
2004-09-21,0.500
2004-09-25,12.100
2004-10-02,4.500
2004-10-04,2.200
2004-10-09,0.200
2004-10-11,0.600
2004-10-15,9.800
2004-10-16,17.200
2004-10-17,1.600
2004-10-18,1.600
2004-10-30,1.100
2004-10-31,5.400
2004-11-02,8.400
2004-11-03,1.800
2004-11-04,3.500
2004-11-05,11.400
2004-11-06,8.500
2004-11-07,0.100
2004-11-11,0.200
2004-11-18,0.100
2004-11-19,0.700
2004-11-20,0.200
2004-11-21,3.200
2004-11-22,0.200
2004-11-24,7.600
2004-11-25,21.400
2004-11-28,10.800
2004-12-01,22.800
2004-12-02,0.200
2004-12-03,2.500
2004-12-04,0.100
2004-12-05,0.400
2004-12-07,5.600
2004-12-08,6.600
2004-12-10,5.500
2004-12-11,19.800
2004-12-13,0.700
2004-12-17,0.500
2004-12-19,0.300
2004-12-20,0.100
2004-12-22,1.800
2004-12-23,12.200
2004-12-26,0.200
2004-12-27,0.200
2004-12-29,0.100
2004-12-31,5.000
2005-01-01,1.000
2005-01-02,4.100
2005-01-03,0.300
2005-01-06,6.500
2005-01-07,0.900
2005-01-10,1.100
2005-01-12,0.300
2005-01-14,17.100
2005-01-19,0.400
2005-01-20,0.100
2005-01-22,0.200
2005-01-26,0.300
2005-02-08,7.700
2005-02-09,0.100
2005-02-10,9.300
2005-02-11,1.000
2005-02-12,0.100
2005-02-14,0.100
2005-02-15,2.000
2005-02-16,3.400
2005-02-18,0.300
2005-02-21,0.400
2005-02-22,0.100
2005-03-01,3.500
2005-03-02,0.100
2005-03-06,1.000
2005-03-07,3.400
2005-03-08,5.200
2005-03-09,0.800
2005-03-12,9.800
2005-03-13,1.300
2005-03-14,0.100
2005-03-15,0.100
2005-03-16,0.600
2005-03-28,7.300
2005-03-31,2.500
2005-04-01,5.900
2005-04-02,19.200
2005-04-03,0.300
2005-04-04,2.600
2005-04-07,6.700
2005-04-08,0.200
2005-04-13,1.800
2005-04-20,17.200
2005-04-23,12.000
2005-04-24,0.500
2005-04-25,8.000
2005-04-27,1.900
2005-04-28,19.800
2005-04-29,3.700
2005-04-30,11.100
2005-05-02,2.800
2005-05-03,0.300
2005-05-08,0.700
2005-05-11,1.400
2005-05-15,7.000
2005-05-16,7.700
2005-05-18,3.500
2005-05-21,1.000
2005-05-22,4.600
2005-05-23,1.200
2005-05-26,13.800
2005-05-27,0.300
2005-05-28,3.500
2005-05-29,1.800
2005-05-30,2.800
2005-05-31,4.000
2005-06-01,0.100
2005-06-08,0.100
2005-06-09,3.500
2005-06-10,3.000
2005-06-14,33.400
2005-06-15,5.600
2005-06-16,0.600
2005-06-17,32.200
2005-06-18,3.100
2005-06-22,2.800
2005-06-29,4.500
2005-07-01,1.000
2005-07-05,7.900
2005-07-06,0.500
2005-07-09,35.400
2005-07-10,1.800
2005-07-13,2.200
2005-07-14,11.600
2005-07-15,0.200
2005-07-17,12.700
2005-07-18,2.600
2005-07-19,13.200
2005-07-22,5.800
2005-07-23,0.200
2005-07-25,4.300
2005-07-26,6.300
2005-07-27,15.000
2005-07-28,0.100
2005-07-30,0.100
2005-08-01,0.900
2005-08-02,16.600
2005-08-03,0.200
2005-08-05,0.500
2005-08-10,9.900
2005-08-11,2.100
2005-08-12,4.300
2005-08-13,3.400
2005-08-14,1.200
2005-08-17,0.600
2005-08-19,0.100
2005-08-20,4.200
2005-08-21,0.100
2005-08-24,0.700
2005-08-28,5.000
2005-08-30,0.500
2005-08-31,63.800
2005-09-02,0.200
2005-09-04,5.700
2005-09-05,0.100
2005-09-07,0.100
2005-09-08,4.800
2005-09-09,0.200
2005-09-15,0.100
2005-09-16,12.100
2005-09-17,29.600
2005-09-18,9.000
2005-09-19,0.100
2005-09-20,0.900
2005-09-22,0.300
2005-09-23,12.300
2005-09-26,15.900
2005-09-27,0.100
2005-09-29,15.000
2005-10-05,0.100
2005-10-07,6.500
2005-10-08,41.600
2005-10-09,2.300
2005-10-14,8.600
2005-10-15,51.200
2005-10-16,53.300
2005-10-17,2.500
2005-10-18,3.400
2005-10-19,5.100
2005-10-23,16.100
2005-10-24,0.200
2005-10-25,27.800
2005-10-26,5.700
2005-10-27,0.100
2005-11-01,1.600
2005-11-02,0.800
2005-11-03,1.300
2005-11-05,0.600
2005-11-06,8.400
2005-11-07,0.600
2005-11-09,11.600
2005-11-10,5.200
2005-11-15,17.300
2005-11-16,12.900
2005-11-17,0.700
2005-11-18,0.400
2005-11-22,15.000
2005-11-24,2.100
2005-11-27,0.200
2005-11-28,4.300
2005-11-30,17.500
2005-12-02,0.400
2005-12-04,0.300
2005-12-05,0.100
2005-12-09,2.200
2005-12-10,0.800
2005-12-16,12.200
2005-12-17,2.900
2005-12-23,3.100
2005-12-24,1.700
2005-12-25,10.800
2005-12-26,10.700
2005-12-29,8.500
2005-12-30,3.800
2006-01-05,4.300
2006-01-06,0.300
2006-01-09,4.600
2006-01-11,3.400
2006-01-12,1.300
2006-01-14,15.000
2006-01-15,0.500
2006-01-18,29.500
2006-01-19,0.200
2006-01-21,4.000
2006-01-23,4.200
2006-01-25,2.100
2006-01-29,3.400
2006-01-30,1.800
2006-01-31,0.500
2006-02-01,0.100
2006-02-03,4.700
2006-02-04,0.300
2006-02-05,12.700
2006-02-06,1.000
2006-02-14,1.300
2006-02-15,0.500
2006-02-16,3.500
2006-02-17,8.500
2006-02-23,0.100
2006-02-24,2.000
2006-02-25,0.100
2006-03-04,0.300
2006-03-09,6.000
2006-03-10,5.500
2006-03-12,1.900
2006-03-13,6.100
2006-03-14,3.600
2006-03-15,0.300
2006-03-19,0.100
2006-04-01,9.700
2006-04-04,19.400
2006-04-05,0.500
2006-04-06,0.100
2006-04-07,3.800
2006-04-13,0.200
2006-04-15,19.300
2006-04-16,0.700
2006-04-17,0.700
2006-04-23,19.300
2006-04-24,5.100
2006-04-25,1.000
2006-04-26,2.800
2006-04-27,0.600
2006-05-02,13.800
2006-05-03,2.800
2006-05-04,3.900
2006-05-05,0.100
2006-05-06,5.300
2006-05-07,0.100
2006-05-10,2.300
2006-05-13,0.800
2006-05-15,1.900
2006-05-16,15.100
2006-05-17,8.100
2006-05-18,11.000
2006-05-19,24.800
2006-05-20,14.600
2006-05-21,11.800
2006-05-22,8.300
2006-05-23,2.400
2006-05-25,0.100
2006-05-26,12.100
2006-05-27,0.300
2006-05-30,5.100
2006-05-31,2.000
2006-06-01,13.700
2006-06-02,0.100
2006-06-03,13.000
2006-06-04,2.000
2006-06-05,0.600
2006-06-07,1.000
2006-06-08,3.700
2006-06-09,2.000
2006-06-10,33.000
2006-06-11,7.400
2006-06-13,0.100
2006-06-14,1.500
2006-06-19,9.400
2006-06-20,4.900
2006-06-26,45.400
2006-06-27,0.200
2006-06-28,7.000
2006-06-29,14.600
2006-06-30,8.400
2006-07-01,0.100
2006-07-02,14.700
2006-07-04,14.000
2006-07-05,0.300
2006-07-11,0.900
2006-07-12,3.300
2006-07-13,1.200
2006-07-15,1.200
2006-07-16,0.100
2006-07-18,11.700
2006-07-21,1.100
2006-07-22,11.800
2006-07-23,6.900
2006-07-24,0.300
2006-07-25,6.900
2006-07-26,0.100
2006-07-28,0.300
2006-07-29,0.100
2006-07-31,8.400
2006-08-01,34.700
2006-08-02,28.200
2006-08-03,21.100
2006-08-04,0.100
2006-08-06,0.100
2006-08-07,6.800
2006-08-09,0.100
