Date,Quantite
2004-05-14,0.700
2004-06-14,0.500
2004-06-15,21.600
2004-06-18,1.400
2004-06-19,7.500
2004-06-22,5.700
2004-06-25,18.300
2004-06-27,0.600
2004-06-29,0.800
2004-06-30,0.100
2004-07-01,5.600
2004-07-02,0.500
2004-07-05,1.900
2004-07-08,27.400
2004-07-09,1.500
2004-07-12,1.600
2004-07-15,15.900
2004-07-16,33.400
2004-07-18,10.300
2004-07-19,0.500
2004-07-20,0.600
2004-07-22,0.700
2004-07-23,54.800
2004-07-28,0.400
2004-07-29,0.100
2004-07-31,14.400
2004-08-01,12.900
2004-08-03,0.100
2004-08-04,0.700
2004-08-05,0.100
2004-08-06,0.100
2004-08-07,18.700
2004-08-08,4.800
2004-08-09,0.100
2004-08-10,1.900
2004-08-11,5.700
2004-08-12,54.200
2004-08-13,29.900
2004-08-19,7.100
2004-08-21,7.900
2004-08-22,0.100
2004-08-23,0.100
2004-08-25,0.100
2004-08-27,0.200
2004-08-28,2.600
2004-08-29,19.800
2004-08-30,12.000
2004-08-31,29.600
2004-09-04,0.400
2004-09-07,5.300
2004-09-08,2.000
2004-09-09,28.500
2004-09-10,1.100
2004-09-11,0.100
2004-09-12,0.100
2004-09-16,1.200
2004-09-17,0.700
2004-09-21,0.400
2004-09-25,0.300
2004-09-28,0.100
2004-10-02,5.100
2004-10-04,0.600
2004-10-09,0.100
2004-10-11,0.100
2004-10-15,10.500
2004-10-16,19.800
2004-10-17,1.200
2004-10-18,0.200
2004-10-30,1.900
2004-10-31,3.500
2004-11-02,9.800
2004-11-03,1.400
2004-11-04,3.500
2004-11-05,10.900
2004-11-06,8.300
2004-11-07,0.800
2004-11-11,0.500
2004-11-18,0.500
2004-11-19,0.600
2004-11-20,0.100
2004-11-21,3.400
2004-11-24,8.600
2004-11-25,17.500
2004-11-28,10.000
2004-12-01,19.900
2004-12-02,0.200
2004-12-05,2.000
2004-12-08,8.700
2004-12-10,3.000
2004-12-11,2.700
2004-12-12,0.300
2004-12-13,0.900
2004-12-19,0.700
2004-12-22,6.000
2004-12-23,36.100
2004-12-31,6.900
2005-01-01,1.100
2005-01-02,0.700
2005-01-03,4.300
2005-01-10,2.400
2005-01-13,7.400
2005-01-14,14.500
2005-02-01,2.900
2005-02-08,6.200
2005-02-10,6.500
2005-02-11,0.500
2005-02-12,0.100
2005-02-14,0.800
2005-02-15,2.900
2005-02-16,2.500
2005-02-18,0.200
2005-02-21,0.800
2005-02-22,0.300
2005-03-01,1.400
2005-03-02,0.100
2005-03-06,0.900
2005-03-07,3.600
2005-03-08,2.600
2005-03-09,0.100
2005-03-12,9.300
2005-03-13,1.300
2005-03-14,0.100
2005-03-16,0.200
2005-03-28,5.400
2005-03-31,2.300
2005-04-01,8.400
2005-04-02,20.700
2005-04-03,0.300
2005-04-04,2.100
2005-04-07,10.500
2005-04-13,0.900
2005-04-20,12.200
2005-04-23,14.900
2005-04-24,1.300
2005-04-25,7.400
2005-04-26,0.100
2005-04-27,6.200
2005-04-28,20.700
2005-04-29,3.600
2005-04-30,11.600
2005-05-01,0.100
2005-05-02,0.400
2005-05-11,1.800
2005-05-15,7.700
2005-05-16,6.800
2005-05-18,1.700
2005-05-19,0.100
2005-05-21,1.500
2005-05-22,4.300
