Date,Quantite
2004-05-10,0.800
2004-05-11,1.800
2004-05-13,2.300
2004-05-18,6.900
2004-05-20,9.200
2004-05-23,4.400
2004-05-24,28.400
2004-05-25,4.800
2004-05-26,4.800
2004-05-27,3.200
2004-05-28,9.800
2004-06-01,21.500
2004-06-02,4.000
2004-06-03,0.100
2004-06-07,0.500
2004-06-09,1.000
2004-06-14,0.300
2004-06-15,14.600
2004-06-18,9.800
2004-06-19,2.900
2004-06-22,4.200
2004-06-25,14.200
2004-06-27,1.300
2004-06-29,1.300
2004-07-01,13.500
2004-07-02,0.800
2004-07-05,0.900
2004-07-07,0.100
2004-07-08,40.500
2004-07-09,1.500
2004-07-10,0.600
2004-07-12,7.100
2004-07-14,0.600
2004-07-15,26.400
2004-07-16,1.200
2004-07-17,0.400
2004-07-18,0.900
2004-07-19,0.700
2004-07-20,0.800
2004-07-22,0.400
2004-07-23,61.000
2004-07-28,0.400
2004-07-31,27.700
2004-08-01,1.500
2004-08-03,1.900
2004-08-04,0.100
2004-08-07,7.100
2004-08-08,2.600
2004-08-11,11.700
2004-08-12,40.300
2004-08-13,22.600
2004-08-14,0.200
2004-08-18,0.200
2004-08-19,8.000
2004-08-20,0.100
2004-08-21,7.800
2004-08-23,0.200
2004-08-27,0.100
2004-08-28,2.400
2004-08-29,29.100
2004-08-30,13.800
2004-08-31,28.600
2004-09-04,0.300
2004-09-07,3.400
2004-09-08,3.600
2004-09-09,38.100
2004-09-10,0.400
2004-09-11,0.100
2004-09-12,0.100
2004-09-16,0.300
2004-09-17,0.400
2004-09-25,6.000
2004-10-02,5.400
2004-10-04,1.100
2004-10-11,0.400
2004-10-15,5.100
2004-10-16,19.400
2004-10-17,3.600
2004-10-18,1.100
2004-10-19,0.100
2004-10-30,1.100
2004-10-31,7.800
2004-11-02,9.800
2004-11-03,1.700
2004-11-04,3.200
2004-11-05,9.600
2004-11-06,9.400
2004-11-07,0.200
2004-11-08,0.200
2004-11-11,0.200
2004-11-18,0.300
2004-11-19,0.400
2004-11-20,1.300
2004-11-21,2.300
2004-11-22,0.100
2004-11-24,8.900
2004-11-25,18.600
2004-11-28,11.200
2004-12-01,23.600
2004-12-02,0.600
2004-12-03,1.600
2004-12-04,0.100
2004-12-05,0.900
2004-12-07,8.000
2004-12-08,5.900
2004-12-10,3.900
2004-12-11,15.900
2004-12-13,0.800
2004-12-17,1.900
2004-12-20,0.100
2004-12-22,1.400
2004-12-23,16.100
2004-12-26,0.300
2004-12-27,0.100
2004-12-28,0.100
2004-12-29,0.100
2004-12-31,8.700
2005-01-01,1.000
2005-01-02,6.700
2005-01-03,0.800
2005-01-06,6.900
2005-01-07,0.600
2005-01-08,0.100
2005-01-10,1.400
2005-01-12,1.000
2005-01-14,18.300
2005-01-19,0.200
2005-01-20,0.100
2005-01-23,0.100
2005-02-08,6.900
2005-02-10,8.700
2005-02-11,0.200
2005-02-14,0.500
2005-02-15,3.100
2005-02-16,3.200
2005-02-18,0.400
2005-02-19,0.200
2005-02-21,1.600
2005-02-22,0.200
2005-03-01,1.400
2005-03-06,1.500
2005-03-07,3.400
2005-03-08,4.800
2005-03-09,0.800
2005-03-11,0.200
2005-03-12,10.000
2005-03-13,0.500
2005-03-14,0.100
2005-03-16,0.200
2005-03-22,0.100
2005-03-23,0.200
2005-03-28,7.400
2005-03-31,3.500
2005-04-01,5.500
2005-04-02,17.700
2005-04-03,1.400
2005-04-04,1.800
2005-04-07,8.100
2005-04-13,1.400
2005-04-20,13.800
2005-04-23,11.200
2005-04-24,1.200
2005-04-25,10.600
2005-04-27,7.500
2005-04-28,18.800
2005-04-29,6.100
2005-04-30,9.300
2005-05-01,0.400
2005-05-02,3.500
2005-05-03,0.400
2005-05-08,0.100
2005-05-11,5.100
2005-05-14,0.100
2005-05-15,8.100
2005-05-16,5.500
2005-05-18,0.100
2005-05-21,1.100
2005-05-22,8.300
2005-05-23,2.000
2005-05-26,14.800
2005-05-27,1.800
2005-05-28,6.900
2005-05-29,10.800
2005-05-30,8.000
2005-05-31,10.600
2005-06-01,0.100
2005-06-05,0.600
2005-06-06,0.200
2005-06-08,0.100
2005-06-10,4.600
2005-06-14,33.200
2005-06-15,16.000
2005-06-16,0.600
2005-06-17,37.800
2005-06-18,2.900
2005-06-22,3.300
2005-06-29,5.800
2005-07-01,3.600
2005-07-05,11.600
2005-07-06,0.500
2005-07-09,27.700
2005-07-14,7.900
2005-07-15,0.100
2005-07-17,3.800
2005-07-18,8.800
2005-07-19,16.200
2005-07-22,17.100
2005-07-23,0.200
2005-07-25,6.000
2005-07-26,3.700
2005-07-27,9.800
2005-07-30,0.100
2005-08-01,0.400
2005-08-02,16.000
2005-08-03,0.100
2005-08-04,0.100
2005-08-05,0.500
2005-08-10,15.200
2005-08-11,2.300
2005-08-12,3.000
2005-08-13,2.800
2005-08-14,1.000
2005-08-19,0.200
2005-08-20,3.100
2005-08-21,0.200
2005-08-24,2.300
2005-08-25,0.100
2005-08-27,0.100
2005-08-28,2.700
2005-08-31,54.200
2005-09-02,0.400
2005-09-04,7.300
2005-09-06,0.100
2005-09-07,0.100
2005-09-08,5.300
2005-09-09,0.500
2005-09-13,0.900
2005-09-14,0.100
2005-09-15,0.400
2005-09-16,10.900
2005-09-17,30.100
2005-09-18,8.800
2005-09-19,0.200
2005-09-20,3.300
2005-09-22,0.100
2005-09-23,7.900
2005-09-25,0.200
2005-09-26,14.900
2005-09-29,7.600
2005-10-06,0.100
2005-10-07,5.500
2005-10-08,37.700
2005-10-09,0.800
2005-10-14,10.900
2005-10-15,37.300
2005-10-16,42.100
2005-10-17,5.700
2005-10-18,2.800
2005-10-19,6.600
2005-10-23,16.500
2005-10-24,0.300
2005-10-25,22.500
2005-10-26,3.100
2005-11-01,1.200
2005-11-02,1.100
2005-11-03,0.500
2005-11-05,1.400
2005-11-06,9.800
2005-11-07,0.900
2005-11-09,14.300
2005-11-10,4.800
2005-11-15,17.700
2005-11-16,13.900
2005-11-17,0.600
2005-11-18,0.600
2005-11-22,9.600
2005-11-24,1.200
2005-11-26,0.100
2005-11-27,0.200
2005-11-28,3.300
2005-11-29,0.200
2005-11-30,21.700
2005-12-02,1.000
2005-12-03,0.300
2005-12-04,0.500
2005-12-06,0.100
2005-12-07,0.100
2005-12-09,2.300
2005-12-10,0.400
2005-12-12,0.100
2005-12-16,14.400
2005-12-17,0.400
2005-12-20,0.300
2005-12-21,0.200
2005-12-23,2.600
2005-12-24,1.700
2005-12-25,10.000
2005-12-26,9.800
2005-12-29,8.000
2005-12-30,2.200
2006-01-04,0.100
2006-01-05,3.700
2006-01-06,0.100
2006-01-09,6.700
2006-01-10,0.100
2006-01-11,2.300
2006-01-12,2.600
2006-01-14,8.200
2006-01-15,0.200
2006-01-18,29.900
2006-01-19,0.400
2006-01-21,3.700
2006-01-23,3.000
2006-01-24,0.100
2006-01-25,2.700
2006-01-26,0.100
2006-01-29,2.700
2006-01-30,2.500
2006-01-31,0.700
2006-02-01,0.400
2006-02-03,9.500
2006-02-04,0.500
2006-02-05,16.100
2006-02-06,1.000
2006-02-08,0.100
2006-02-13,0.200
2006-02-14,1.800
2006-02-15,0.800
2006-02-16,3.500
2006-02-17,10.800
2006-02-23,0.300
2006-02-24,1.600
2006-02-25,0.100
2006-03-02,0.300
2006-03-03,0.100
2006-03-04,1.100
2006-03-09,4.600
2006-03-10,7.100
2006-03-12,1.100
2006-03-13,7.000
2006-03-14,2.700
2006-03-15,0.700
2006-03-19,0.200
2006-03-25,0.300
2006-04-01,8.600
2006-04-04,17.300
2006-04-05,0.300
2006-04-07,3.600
2006-04-13,0.500
2006-04-15,12.100
2006-04-16,1.200
2006-04-17,0.100
2006-04-23,20.800
2006-04-24,8.600
2006-04-25,1.500
2006-04-26,2.400
2006-04-27,0.200
2006-05-02,19.400
2006-05-03,3.400
2006-05-04,1.400
2006-05-06,5.500
2006-05-10,1.200
2006-05-13,3.400
2006-05-14,4.800
2006-05-15,3.700
2006-05-16,15.800
2006-05-17,6.500
2006-05-18,2.100
2006-05-19,23.800
2006-05-20,15.600
2006-05-21,7.700
2006-05-22,7.000
2006-05-23,1.700
2006-05-25,0.200
2006-05-26,12.500
2006-05-27,0.900
2006-05-30,2.100
2006-05-31,3.000
2006-06-01,12.800
2006-06-03,12.800
2006-06-04,2.100
2006-06-05,0.100
2006-06-07,0.200
2006-06-08,3.200
2006-06-09,3.600
2006-06-10,22.200
2006-06-11,0.800
2006-06-12,0.200
2006-06-13,0.100
2006-06-14,0.200
2006-06-16,0.100
2006-06-19,3.900
2006-06-20,0.700
2006-06-26,0.700
2006-06-27,0.100
2006-06-28,0.100
2006-06-29,0.200
2006-07-01,0.100
2006-07-04,0.100
2006-07-11,1.100
2006-07-12,0.100
2006-07-14,0.100
2006-07-18,0.800
2006-07-21,0.500
2006-07-22,0.700
2006-07-23,0.500
2006-07-24,0.200
2006-07-25,0.200
2006-07-26,0.200
2006-07-27,0.100
2006-07-28,0.100
2006-07-29,0.200
2006-08-01,0.200
2006-08-03,0.100
