X,Y,fid,OBJECTID,DATEDEBUT,DATEFIN,NUMERO,PROPRIETAI,TYPE,SONDEID,POINTMESUR,UTILISATEU,DATECREATI,UTILISAT_1,DATEMODIFI,METHODECAP,Latitude,Longitude,Y_MTM7,X_MTM7,ELEV_1
187942.504925,5026778.23015,1,1,,,,Ville de Sherbrooke,4,RFO,0,bercze,2023/06/16,bercze,2025/10/22,2,45.371201349,-71.991896913,5026778.23015,187942.504925,258.669982910156
198764.94185,5027254.924775,2,2,,,,Ville de Sherbrooke,4,LEN,0,bercze,2023/06/16,bercze,2025/10/22,2,45.3772107301,-71.8538720628,5027254.92478,198764.94185,148.629989624023
198891.527975,5033358.757625,3,3,,,,Ville de Sherbrooke,4,CJD,0,bercze,2023/06/16,bercze,2025/10/22,2,45.432140402,-71.8535671709,5033358.75763,198891.527975,177.580001831055
192859.682775,5029571.57405,4,4,,,,Ville de Sherbrooke,4,SPH,0,bercze,2023/06/16,bercze,2025/10/22,2,45.3971323749,-71.9297737459,5029571.57405,192859.682775,180.190002441406
196463.725225,5029053.817575,5,5,,,,Ville de Sherbrooke,4,CJC,0,bercze,2023/06/16,bercze,2025/10/22,2,45.393041539,-71.8836406311,5029053.81758,196463.725225,146.020004272461
194989.4756,5031360.22525,6,6,,,,Ville de Sherbrooke,4,SPQ,0,bercze,2023/06/16,bercze,2025/10/22,2,45.413560112,-71.9029772569,5031360.22525,194989.4756,146.229995727539
191792.500025,5038007.617925,7,7,,,,Ville de Sherbrooke,4,BRO,0,bercze,2023/06/16,bercze,2025/10/22,2,45.4728488619,-71.9453364709,5038007.61792,191792.500025,140
192812.2352,5034596.7918,8,8,,,,Ville de Sherbrooke,4,SES,0,bercze,2023/06/16,bercze,2025/10/22,2,45.4423303971,-71.9315216989,5034596.7918,192812.2352,149.75
195657.18875,5027045.273325,9,9,,,,Ville de Sherbrooke,4,ASC,0,bercze,2023/06/16,bercze,2025/10/22,2,45.3748475391,-71.8934943721,5027045.27332,195657.18875,253.529998779297
192543.29225,5027091.516075,10,10,,,,Ville de Sherbrooke,4,JMJ,0,bercze,2023/06/16,bercze,2025/10/22,2,45.3747716322,-71.9332496089,5027091.51608,192543.29225,237.580001831055
184253.63805,5029212.781375,11,11,,,,Ville de Sherbrooke,4,CRG,0,bercze,2023/06/16,bercze,2025/10/22,2,45.392476279,-72.0395695391,5029212.78138,184253.63805,281.488250732422
183883.383,5024007.8959,12,12,,,,Ville de Sherbrooke,4,DEA,0,bercze,2023/06/16,bercze,2025/10/22,2,45.3455925745,-72.0430227172,5024007.8959,183883.383,198.597946166992
