Date,Période,DEA,CRG,RFO,LEN,CJD,SPH,CJC,SPQ,BRO,SES,ASC,JMJ
5/17/2025,00:05:00 à 00:09:59h,0,0,0,0.1,0,0,0,0,0,0,0,0
5/17/2025,01:55:00 à 01:59:59h,0,0,0,0,0,0,0,0,0.1,0,0,0
5/17/2025,02:45:00 à 02:49:59h,0,0,0,0,0,0,0,0,0,0.1,0,0
5/17/2025,03:20:00 à 03:24:59h,0,0.1,0,0,0,0,0,0,0,0,0,0
5/17/2025,04:35:00 à 04:39:59h,0,0,0,0,0,0.1,0,0,0,0,0,0
5/17/2025,05:00:00 à 05:04:59h,0,0,0,0,0.1,0,0,0,0,0,0,0
5/17/2025,05:40:00 à 05:44:59h,0,0,0,0.1,0,0,0,0,0,0,0,0
5/17/2025,06:40:00 à 06:44:59h,0.2,0,0,0,0,0,0,0,0,0,0,0
5/17/2025,07:25:00 à 07:29:59h,0,0.1,0,0,0,0,0,0,0,0,0,0
5/17/2025,07:40:00 à 07:44:59h,0,1.8,0,0,0,0,0,0,0,0,0,0
5/17/2025,07:45:00 à 07:49:59h,2.2,4.3,0,0,0,0,0,0,0,0,0,0
5/17/2025,07:50:00 à 07:54:59h,1.8,3.5,0.254,0,0,0,0,0,0,0,0,0
5/17/2025,07:55:00 à 07:59:59h,0,2.6,0.254,0,0,0,0,0,0.3,0.2,0,0.1
5/17/2025,08:00:00 à 08:04:59h,0,1,0.254,0,0,0.1,0,0,3.6,0.6,0,0.2
5/17/2025,08:05:00 à 08:09:59h,0.2,0,0,0.1,0,0.3,0,0,1.5,0.2,0,0.4
5/17/2025,08:10:00 à 08:14:59h,0.6,0,0.762,0.1,0,0.2,0.254,0.254,1.1,0.1,0,0.1
5/17/2025,08:15:00 à 08:19:59h,5.4,0.1,0.508,0,0.6,0.1,0,0.254,0.2,0.2,0,0.1
5/17/2025,08:20:00 à 08:24:59h,3.6,0.4,0.508,0.1,0.1,0.4,0,0,0,0.1,0.508,1.9
5/17/2025,08:25:00 à 08:29:59h,0,1.3,0,0.1,0.2,2,1.27,0.254,0,0.4,1.27,1.1
5/17/2025,08:30:00 à 08:34:59h,0,1.1,0,0.8,0.3,0.9,0.508,4.318,0,0.6,0,0.2
5/17/2025,08:35:00 à 08:39:59h,0,0.1,0,0,1.7,0.1,0,0.508,0.5,3.7,0,0
5/17/2025,08:40:00 à 08:44:59h,0,0,0,0,0.1,0,0,0,2,0.8,0,0
5/17/2025,08:45:00 à 08:49:59h,0,0,0,0,0,0,0,0,0.7,0,0,0
5/17/2025,08:50:00 à 08:54:59h,0.2,0,0,0,0,0,0,0,0.2,0,0,0
5/17/2025,09:05:00 à 09:09:59h,0,0,0,0,0,0,0,0,0.4,0,0.254,0
5/17/2025,09:10:00 à 09:14:59h,0,0,0,0,0,0,0,0,0.6,0,0,0
5/17/2025,09:15:00 à 09:19:59h,0,0,0,0,0,0,0,0,0.4,0,0,0
5/17/2025,09:20:00 à 09:24:59h,0,0,0,0,0,0,0,0,0,0.1,0,0
5/17/2025,09:25:00 à 09:29:59h,0,0,0,0,0,0,0,0,0.1,0,0,0
5/17/2025,11:35:00 à 11:39:59h,0,0.1,0,0,0,0,0,0,0,0,0,0
