X,Y,fid,id,left,top,right,bottom,row_index,col_index,ELEV_1
181922.790326637,5038761.41821422,1,1,181672.790326637,5039011.41821422,182172.790326637,5038511.41821422,0,0,253.34065246582
181922.790326637,5038261.41821422,2,2,181672.790326637,5038511.41821422,182172.790326637,5038011.41821422,1,0,261.754486083984
181922.790326637,5037761.41821422,3,3,181672.790326637,5038011.41821422,182172.790326637,5037511.41821422,2,0,252.846908569336
181922.790326637,5037261.41821422,4,4,181672.790326637,5037511.41821422,182172.790326637,5037011.41821422,3,0,265.486114501953
181922.790326637,5036761.41821422,5,5,181672.790326637,5037011.41821422,182172.790326637,5036511.41821422,4,0,257.075408935547
181922.790326637,5036261.41821422,6,6,181672.790326637,5036511.41821422,182172.790326637,5036011.41821422,5,0,249.010055541992
181922.790326637,5035761.41821422,7,7,181672.790326637,5036011.41821422,182172.790326637,5035511.41821422,6,0,246.936920166016
181922.790326637,5035261.41821422,8,8,181672.790326637,5035511.41821422,182172.790326637,5035011.41821422,7,0,250.947479248047
181922.790326637,5034761.41821422,9,9,181672.790326637,5035011.41821422,182172.790326637,5034511.41821422,8,0,246.420700073242
181922.790326637,5034261.41821422,10,10,181672.790326637,5034511.41821422,182172.790326637,5034011.41821422,9,0,246.846008300781
181922.790326637,5033761.41821422,11,11,181672.790326637,5034011.41821422,182172.790326637,5033511.41821422,10,0,250.907180786133
181922.790326637,5033261.41821422,12,12,181672.790326637,5033511.41821422,182172.790326637,5033011.41821422,11,0,253.234832763672
181922.790326637,5032761.41821422,13,13,181672.790326637,5033011.41821422,182172.790326637,5032511.41821422,12,0,251.657333374023
181922.790326637,5032261.41821422,14,14,181672.790326637,5032511.41821422,182172.790326637,5032011.41821422,13,0,259.716339111328
181922.790326637,5031761.41821422,15,15,181672.790326637,5032011.41821422,182172.790326637,5031511.41821422,14,0,276.100067138672
181922.790326637,5031261.41821422,16,16,181672.790326637,5031511.41821422,182172.790326637,5031011.41821422,15,0,288.56005859375
181922.790326637,5030761.41821422,17,17,181672.790326637,5031011.41821422,182172.790326637,5030511.41821422,16,0,304.017303466797
181922.790326637,5030261.41821422,18,18,181672.790326637,5030511.41821422,182172.790326637,5030011.41821422,17,0,320.183654785156
181922.790326637,5029761.41821422,19,19,181672.790326637,5030011.41821422,182172.790326637,5029511.41821422,18,0,319.821380615234
181922.790326637,5029261.41821422,20,20,181672.790326637,5029511.41821422,182172.790326637,5029011.41821422,19,0,305.422607421875
181922.790326637,5028761.41821422,21,21,181672.790326637,5029011.41821422,182172.790326637,5028511.41821422,20,0,283.357086181641
181922.790326637,5028261.41821422,22,22,181672.790326637,5028511.41821422,182172.790326637,5028011.41821422,21,0,267.714172363281
