Date,Quantite
2004-05-20,7.900
2004-05-23,4.000
2004-05-24,21.200
2004-05-25,8.300
2004-05-26,1.800
2004-05-27,3.100
2004-05-28,11.900
2004-06-01,16.800
2004-06-02,3.800
2004-06-07,0.500
2004-06-09,0.300
2004-06-15,18.300
2004-06-18,2.400
2004-06-19,6.000
2004-06-22,3.900
2004-06-25,19.200
2004-06-27,0.200
2004-06-29,1.600
2004-07-01,8.300
2004-07-02,1.900
2004-07-03,0.100
2004-07-05,0.200
2004-07-08,21.900
2004-07-09,4.000
2004-07-10,0.100
2004-07-12,6.800
2004-07-15,13.000
2004-07-16,26.400
2004-07-17,0.100
2004-07-18,0.200
2004-07-19,0.600
2004-07-20,0.400
2004-07-22,0.100
2004-07-23,45.100
2004-07-28,0.300
2004-07-31,29.000
2004-08-01,14.700
2004-08-03,1.300
2004-08-04,1.400
2004-08-07,9.500
2004-08-08,1.100
2004-08-11,7.400
2004-08-12,47.600
2004-08-13,24.500
2004-08-18,0.300
2004-08-19,8.700
2004-08-21,8.800
2004-08-27,0.100
2004-08-28,0.600
2004-08-29,24.100
2004-08-30,9.700
2004-08-31,26.500
2004-09-04,1.300
2004-09-07,4.100
2004-09-08,3.200
2004-09-09,28.500
2004-09-10,5.000
2004-09-11,0.100
2004-09-16,0.200
2004-09-17,0.200
2004-09-25,0.100
2004-10-02,5.100
2004-10-04,1.900
2004-10-09,0.300
2004-10-11,0.200
2004-10-15,9.600
2004-10-16,19.900
2004-10-17,2.600
2004-10-18,0.600
2004-10-30,0.900
2004-10-31,5.600
2004-11-01,0.100
2004-11-02,8.400
2004-11-03,1.600
2004-11-04,3.100
2004-11-05,4.800
2004-11-06,8.900
2004-11-07,0.300
2004-11-11,0.300
2004-11-18,0.500
2004-11-19,0.500
2004-11-20,0.300
2004-11-21,1.700
2004-11-24,8.200
2004-11-25,21.700
2004-11-28,11.200
2004-12-01,27.200
2004-12-02,0.200
2004-12-03,0.800
2004-12-05,0.900
2004-12-07,7.700
2004-12-08,5.100
2004-12-10,0.700
2004-12-11,12.600
2004-12-13,0.700
2004-12-17,0.200
2004-12-22,1.500
2004-12-23,14.800
2004-12-31,1.800
2005-01-12,0.200
2005-01-14,16.800
2005-01-19,0.600
2005-01-22,0.100
2005-02-08,7.200
2005-02-10,6.200
2005-02-11,1.000
2005-02-14,0.300
2005-02-15,2.300
2005-02-16,3.100
2005-02-18,0.200
2005-02-21,0.100
2005-03-01,1.500
2005-03-06,1.200
2005-03-07,2.000
2005-03-08,3.700
2005-03-09,0.100
2005-03-12,5.400
2005-03-13,1.000
2005-03-15,0.100
2005-03-16,0.200
2005-03-28,6.600
2005-03-31,2.700
2005-04-01,5.400
2005-04-02,19.200
2005-04-03,0.600
2005-04-04,2.600
2005-04-07,8.300
2005-04-08,0.200
2005-04-13,1.500
2005-04-20,15.000
2005-04-23,15.000
2005-04-24,0.800
2005-04-25,8.600
2005-04-27,3.600
2005-04-28,18.100
2005-04-29,2.800
2005-04-30,10.900
2005-05-02,1.200
2005-05-03,0.500
2005-05-04,0.100
2005-05-08,0.100
2005-05-11,2.600
2005-05-15,6.500
2005-05-16,5.700
2005-05-18,2.900
2005-05-21,0.600
2005-05-22,4.600
2005-05-23,1.600
2005-05-26,13.400
2005-05-27,0.700
2005-05-28,5.100
2005-05-29,1.000
2005-05-30,2.000
2005-05-31,4.600
2005-06-01,0.100
2005-06-06,1.500
2005-06-08,0.200
2005-06-09,1.600
2005-06-10,5.100
2005-06-14,48.100
2005-06-15,9.600
2005-06-17,29.400
2005-06-18,1.500
2005-06-22,1.700
2005-06-29,3.300
2005-07-01,1.900
2005-07-05,8.900
2005-07-06,1.100
2005-07-09,38.500
2005-07-10,0.200
2005-07-13,13.700
2005-07-14,19.500
2005-07-15,0.300
2005-07-17,0.300
2005-07-18,8.600
2005-07-19,0.800
2005-07-26,2.900
2005-07-27,8.800
2005-08-01,1.200
2005-08-02,19.400
2005-08-03,0.200
2005-08-05,0.100
2005-08-10,5.500
2005-08-11,1.200
2005-08-12,4.100
2005-08-13,4.600
2005-08-14,0.900
2005-08-17,0.800
2005-08-19,0.100
2005-08-20,3.800
2005-08-21,0.700
2005-08-24,0.900
2005-08-28,3.700
2005-08-30,1.000
2005-08-31,61.000
2005-09-04,4.100
2005-09-06,0.100
2005-09-08,4.400
2005-09-09,0.300
2005-09-16,9.600
2005-09-17,23.600
2005-09-18,4.400
2005-09-19,0.600
2005-09-20,0.600
2005-09-21,0.300
2005-09-22,0.300
2005-09-23,0.800
2005-09-24,0.300
2005-09-25,0.300
2005-09-26,3.700
2005-09-27,12.300
2005-09-28,4.300
2005-09-29,0.300
2005-10-07,2.600
2005-10-08,40.200
2005-10-09,0.600
2005-10-14,4.200
2005-10-15,13.400
2005-10-16,33.300
2005-10-17,33.400
2005-10-18,14.600
2005-10-19,5.300
2005-10-31,0.100
2005-11-25,0.100
2005-11-27,0.200
2005-11-28,4.000
2005-11-29,0.200
2005-11-30,23.500
2005-12-02,1.500
2005-12-04,0.500
2005-12-09,2.400
2005-12-10,0.400
2005-12-16,10.000
2005-12-17,0.100
2005-12-23,3.000
2005-12-24,1.800
2005-12-25,13.800
2005-12-26,12.400
2005-12-29,8.600
2005-12-30,3.500
2006-01-05,3.300
2006-01-06,0.300
2006-01-09,2.800
2006-01-11,2.300
2006-01-12,2.200
2006-01-14,10.600
2006-01-15,0.200
2006-01-17,0.100
2006-01-18,32.400
2006-01-19,0.100
2006-01-21,3.100
2006-01-23,3.500
2006-01-25,1.400
2006-01-29,1.400
2006-01-30,0.600
2006-01-31,0.400
2006-02-01,0.100
2006-02-03,7.800
2006-02-04,0.500
2006-02-05,15.000
2006-02-06,1.600
2006-02-14,0.400
2006-02-15,0.300
2006-02-16,4.800
2006-02-17,12.600
2006-02-22,0.100
2006-02-23,0.300
2006-02-24,2.400
2006-03-09,6.100
2006-03-10,6.200
2006-03-12,1.800
2006-03-13,5.400
2006-03-14,2.400
2006-03-15,0.300
2006-03-25,0.200
2006-04-01,8.700
2006-04-04,21.100
2006-04-05,0.600
2006-04-06,0.300
2006-04-07,3.300
2006-04-08,0.100
2006-04-13,0.100
2006-04-15,22.600
2006-04-16,0.800
2006-04-17,0.300
2006-04-23,23.700
2006-04-24,6.100
2006-04-25,1.200
2006-04-26,21.600
2006-04-27,0.300
2006-05-02,14.500
2006-05-03,2.300
2006-05-04,2.000
2006-05-06,4.200
2006-05-10,4.000
2006-05-11,0.200
2006-05-13,1.800
