Date,Quantite
2005-09-29,6.700
2005-10-07,5.200
2005-10-08,35.000
2005-10-09,0.900
2005-10-14,8.900
2005-10-15,39.900
2005-10-16,26.000
2005-10-17,3.200
2005-10-18,1.900
2005-10-19,3.000
2005-10-23,10.000
2005-10-24,0.200
2005-10-25,24.000
2005-10-26,4.700
2005-11-01,0.700
2005-11-02,0.200
2005-11-03,1.000
2005-11-05,0.700
2005-11-06,11.200
2005-11-07,0.400
2005-11-09,10.800
2005-11-10,2.700
2005-11-15,13.100
2005-11-16,9.300
2005-11-17,0.600
2005-11-18,0.400
2005-11-22,10.500
2005-11-23,0.100
2005-11-24,2.900
2005-11-25,0.100
2005-11-27,0.100
2005-11-28,2.200
2005-11-29,0.200
2005-11-30,18.100
2005-12-02,0.600
2005-12-03,0.100
2005-12-04,0.300
2005-12-05,0.100
2005-12-06,0.100
2005-12-07,0.100
2005-12-09,1.600
2005-12-10,0.300
2005-12-16,14.600
2005-12-17,0.100
2005-12-20,0.200
2005-12-21,0.100
2005-12-23,1.600
2005-12-24,1.100
2005-12-25,13.200
2005-12-26,10.300
2005-12-27,0.100
2005-12-29,6.800
2005-12-30,2.900
2006-01-01,0.100
2006-01-05,2.200
2006-01-06,0.400
2006-01-09,3.600
2006-01-10,0.100
2006-01-11,1.900
2006-01-12,0.900
2006-01-14,9.600
2006-01-15,0.700
2006-01-18,25.400
2006-01-19,0.100
2006-01-21,2.500
2006-01-23,2.100
2006-01-25,1.100
2006-01-26,0.100
2006-01-29,3.200
2006-01-30,1.200
2006-01-31,0.400
2006-02-01,0.200
2006-02-03,5.700
2006-02-04,0.400
2006-02-05,13.000
2006-02-06,1.200
2006-02-07,0.100
2006-02-13,0.100
2006-02-14,0.500
2006-02-15,0.200
2006-02-16,4.400
2006-02-17,7.600
2006-02-23,0.200
2006-02-24,1.500
2006-02-25,0.100
2006-03-01,0.300
2006-03-02,0.100
2006-03-03,0.600
2006-03-04,0.300
2006-03-09,5.200
2006-03-10,3.900
2006-03-12,1.200
2006-03-13,5.500
2006-03-14,1.600
2006-03-15,0.500
2006-03-19,0.100
2006-03-25,0.100
2006-04-01,6.000
2006-04-02,0.100
2006-04-04,17.200
2006-04-05,0.200
2006-04-06,0.200
2006-04-07,2.400
2006-04-13,0.200
2006-04-15,12.600
2006-04-16,0.300
2006-04-17,0.200
2006-04-23,20.900
2006-04-24,4.400
2006-04-25,0.600
2006-04-26,1.300
2006-04-27,0.200
2006-05-02,13.000
2006-05-03,1.700
2006-05-04,1.400
2006-05-06,2.800
2006-05-10,4.600
2006-05-13,2.300
2006-05-14,0.400
2006-05-15,3.300
2006-05-16,14.800
2006-05-17,5.700
2006-05-18,4.900
2006-05-19,18.700
2006-05-20,9.600
2006-05-21,5.700
2006-05-22,5.400
2006-05-23,1.400
2006-05-25,0.200
2006-05-26,11.200
2006-05-27,0.300
2006-05-30,5.300
2006-05-31,4.200
2006-06-01,11.000
2006-06-03,10.500
2006-06-04,1.900
2006-06-05,0.200
2006-06-07,0.800
2006-06-08,3.700
2006-06-09,1.700
2006-06-10,31.400
2006-06-11,5.400
2006-06-12,0.300
2006-06-14,1.200
2006-06-19,9.400
2006-06-20,3.000
2006-06-26,26.800
2006-06-28,6.200
2006-06-29,4.400
2006-06-30,6.100
2006-07-01,0.100
2006-07-02,14.400
2006-07-04,11.000
2006-07-11,0.800
2006-07-12,3.100
2006-07-13,1.000
2006-07-18,11.000
2006-07-21,0.800
2006-07-22,10.600
2006-07-23,9.000
2006-07-24,0.200
2006-07-25,6.600
2006-07-26,1.200
2006-07-27,0.100
2006-07-28,0.500
2006-07-31,10.000
2006-08-01,26.800
2006-08-02,36.900
2006-08-03,19.600
2006-08-04,0.100
2006-08-07,8.900
2006-08-10,3.500
2006-08-11,0.300
2006-08-12,0.100
2006-08-15,0.900
2006-08-19,12.800
2006-08-20,21.900
2006-08-21,4.000
2006-08-24,0.300
2006-08-27,18.800
2006-08-28,0.100
2006-09-03,6.000
2006-09-04,1.200
2006-09-06,0.100
2006-09-09,2.600
2006-09-10,0.100
2006-09-13,3.900
2006-09-14,1.200
2006-09-15,0.100
2006-09-19,2.500
2006-09-20,2.300
2006-09-22,0.100
2006-09-23,4.400
2006-09-24,1.100
2006-09-26,1.600
2006-09-29,22.000
2006-09-30,0.100
2006-10-01,3.500
2006-10-02,2.500
2006-10-03,0.700
2006-10-04,10.800
2006-10-12,15.200
2006-10-13,0.200
2006-10-17,5.900
2006-10-18,9.800
2006-10-19,5.600
2006-10-20,36.900
2006-10-21,0.100
2006-10-22,1.900
2006-10-23,1.800
2006-10-24,0.200
2006-10-25,0.100
2006-10-28,17.000
2006-10-29,2.100
2006-10-31,1.800
2006-11-06,0.400
2006-11-08,4.000
2006-11-09,3.300
2006-11-10,0.200
2006-11-11,8.300
2006-11-12,5.000
2006-11-13,2.100
2006-11-14,5.200
2006-11-15,1.700
2006-11-16,2.100
2006-11-17,1.100
2006-11-20,0.400
2006-11-27,0.700
2006-11-28,0.800
2006-11-30,10.500
2006-12-01,23.000
2006-12-02,0.400
2006-12-04,0.200
2006-12-06,0.100
2006-12-07,0.800
2006-12-09,0.200
2006-12-11,0.200
2006-12-13,1.000
2006-12-15,0.600
2006-12-16,0.300
2006-12-22,1.800
2006-12-23,21.300
