Date,Quantite
2004-05-10,0.100
2004-05-11,0.500
2004-05-13,0.700
2004-05-18,10.500
2004-05-20,8.300
2004-05-23,2.900
2004-05-24,25.700
2004-05-25,8.300
2004-05-26,2.000
2004-05-27,3.000
2004-05-28,8.300
2004-06-01,15.000
2004-06-02,3.600
2004-06-03,0.700
2004-06-07,1.400
2004-06-09,0.400
2004-06-15,15.200
2004-06-18,1.400
2004-06-19,7.600
2004-06-22,6.600
2004-06-25,16.800
2004-06-27,0.500
2004-06-28,0.300
2004-06-29,1.200
2004-07-01,7.100
2004-07-02,0.600
2004-07-05,0.100
2004-07-07,0.100
2004-07-08,18.900
2004-07-09,1.200
2004-07-10,0.800
2004-07-12,4.500
2004-07-15,8.600
2004-07-16,28.400
2004-07-18,11.800
2004-07-19,0.500
2004-07-20,0.300
2004-07-23,43.400
2004-07-28,0.100
2004-07-31,29.400
2004-08-01,15.200
2004-08-03,0.500
2004-08-04,0.700
2004-08-05,0.100
2004-08-07,14.800
2004-08-08,6.800
2004-08-09,0.100
2004-08-10,0.100
2004-08-11,5.900
2004-08-12,38.900
2004-08-13,22.800
2004-08-19,7.000
2004-08-20,0.100
2004-08-21,9.300
2004-08-24,0.100
2004-08-25,0.100
2004-08-29,12.400
2004-08-30,10.700
2004-08-31,24.400
2004-09-02,0.100
2004-09-03,0.100
2004-09-04,0.500
2004-09-07,3.800
2004-09-08,2.300
2004-09-09,23.400
2004-09-10,7.200
2004-09-11,0.200
2004-09-12,0.100
2004-09-14,0.100
2004-09-17,0.300
2004-09-20,0.100
2004-09-21,0.200
2004-09-24,0.100
2004-09-25,0.900
2004-09-27,0.100
2004-09-30,0.200
2004-10-02,6.800
2004-10-04,2.200
2004-10-09,0.100
2004-10-13,0.100
2004-10-15,10.100
2004-10-16,18.800
2004-10-17,1.100
2004-10-18,0.800
2004-10-22,0.100
2004-10-24,0.100
2004-10-28,0.100
2004-10-29,0.100
2004-10-30,0.700
2004-10-31,4.300
2004-11-01,0.100
2004-11-02,8.300
2004-11-03,3.200
2004-11-04,3.100
2004-11-05,9.900
2004-11-06,7.000
2004-11-07,0.400
2004-11-15,0.100
2004-11-18,0.500
2004-11-19,0.500
2004-11-20,0.100
2004-11-21,2.700
2004-11-22,0.100
2004-11-23,0.100
2004-11-24,7.500
2004-11-25,21.600
2004-11-28,10.200
2004-12-01,25.800
2004-12-05,2.700
2004-12-08,10.600
2004-12-10,1.200
2004-12-19,0.400
2004-12-22,1.100
2004-12-23,18.400
