Date,Quantite
2005-09-29,10.668
2005-10-07,6.858
2005-10-08,38.354
2005-10-09,0.762
2005-10-14,7.874
2005-10-15,49.276
2005-10-16,47.244
2005-10-17,4.064
2005-10-18,2.540
2005-10-19,3.810
2005-10-23,9.398
2005-10-24,0.254
2005-10-25,15.748
2005-10-26,9.906
2005-10-27,0.254
2005-11-01,0.762
2005-11-02,0.254
2005-11-03,1.270
2005-11-05,0.508
2005-11-06,10.668
2005-11-07,0.254
2005-11-09,11.176
2005-11-10,4.064
2005-11-15,14.986
2005-11-16,13.462
2005-11-17,0.508
2005-11-18,1.524
2005-11-22,11.684
2005-11-24,4.572
2005-11-28,3.810
2005-11-30,16.510
2005-12-02,0.762
2005-12-04,0.508
2005-12-05,0.254
2005-12-09,2.540
2005-12-10,0.762
2005-12-16,6.858
2005-12-17,5.588
2005-12-23,2.540
2005-12-24,1.778
2005-12-25,10.160
2005-12-26,9.144
2005-12-29,9.652
2005-12-30,2.032
2006-01-02,0.762
2006-01-05,3.810
2006-01-06,0.508
2006-01-07,0.254
2006-01-09,4.318
2006-01-11,3.048
2006-01-12,1.524
2006-01-14,11.430
2006-01-18,26.924
2006-01-21,3.048
2006-01-23,3.302
2006-01-25,2.286
2006-01-29,1.016
2006-01-30,1.524
2006-01-31,1.016
2006-02-03,5.588
2006-02-04,0.254
2006-02-05,13.716
2006-02-06,1.270
2006-02-14,1.524
2006-02-15,0.254
2006-02-16,5.080
2006-02-17,9.398
2006-02-23,0.254
2006-02-24,2.286
2006-03-02,0.254
2006-03-09,4.318
2006-03-10,5.334
2006-03-12,1.524
2006-03-13,5.842
2006-03-14,2.540
2006-03-15,0.508
2006-03-19,0.254
2006-04-01,10.414
2006-04-04,19.050
2006-04-05,0.508
2006-04-06,0.254
2006-04-07,3.302
2006-04-08,0.254
2006-04-15,18.796
2006-04-16,0.508
2006-04-17,0.254
2006-04-23,18.034
2006-04-24,4.826
2006-04-25,0.508
2006-04-26,2.286
2006-04-27,0.762
2006-05-02,11.938
2006-05-03,2.032
2006-05-04,3.048
2006-05-06,4.064
2006-05-10,2.540
2006-05-13,0.762
2006-05-15,1.778
2006-05-16,15.240
2006-05-17,8.128
2006-05-18,6.096
2006-05-19,25.908
2006-05-20,11.176
2006-05-21,10.414
2006-05-22,8.128
2006-05-23,2.032
2006-05-26,9.652
2006-05-27,0.254
2006-05-30,4.318
2006-05-31,5.842
2006-06-01,11.684
2006-06-03,9.144
2006-06-04,1.778
2006-06-05,0.254
2006-06-07,0.254
2006-06-08,2.540
2006-06-09,2.032
2006-06-10,34.036
2006-06-11,6.858
2006-06-12,1.016
2006-06-14,0.508
2006-06-19,10.668
2006-06-20,4.572
2006-06-26,34.544
2006-06-28,6.858
2006-06-29,3.810
2006-06-30,7.366
2006-07-02,13.970
2006-07-04,13.716
2006-07-12,2.540
2006-07-13,1.016
2006-07-15,2.286
2006-07-18,16.764
2006-07-21,0.508
2006-07-22,10.922
2006-07-23,5.842
2006-07-24,0.254
2006-07-25,6.604
2006-07-31,10.668
2006-08-01,32.258
2006-08-02,30.734
2006-08-03,18.034
2006-08-07,7.620
2006-08-10,5.334
2006-08-15,1.270
2006-08-19,17.272
2006-08-20,28.956
2006-08-21,5.588
2006-08-27,19.304
2006-09-03,5.588
2006-09-04,1.016
2006-09-09,2.540
2006-09-13,3.556
2006-09-14,1.016
2006-09-19,3.556
2006-09-20,3.810
2006-09-23,4.064
2006-09-24,1.270
2006-09-26,1.778
2006-09-29,23.876
2006-10-01,3.810
2006-10-02,2.794
2006-10-03,0.508
2006-10-04,13.208
2006-10-12,16.764
2006-10-13,0.254
2006-10-17,6.096
2006-10-18,10.160
2006-10-19,5.588
2006-10-20,48.768
2006-10-21,0.254
2006-10-22,2.540
2006-10-23,3.048
2006-10-24,1.016
2006-10-25,1.016
2006-10-28,15.494
2006-10-29,8.128
2006-10-31,2.032
2006-11-06,1.270
2006-11-08,3.556
2006-11-09,3.302
2006-11-10,0.762
2006-11-11,10.160
2006-11-12,6.858
2006-11-13,2.540
2006-11-14,5.080
2006-11-15,1.778
2006-11-16,0.762
2006-11-17,1.016
2006-11-20,1.270
2006-11-27,1.016
2006-11-28,0.762
2006-11-30,11.684
2006-12-01,27.178
2006-12-02,1.270
2006-12-04,0.762
2006-12-07,2.032
2006-12-09,0.508
2006-12-11,0.508
2006-12-13,2.032
2006-12-15,0.762
2006-12-16,0.762
2006-12-19,0.254
2006-12-22,3.048
2006-12-23,27.686
2006-12-24,1.778
2006-12-26,6.858
2006-12-30,2.540
2007-01-01,9.398
2007-01-02,1.778
2007-01-05,1.524
2007-01-06,16.510
2007-01-08,13.208
2007-01-12,0.508
2007-01-13,2.032
2007-01-15,0.254
2007-01-18,5.334
2007-01-19,1.778
2007-01-22,0.508
2007-01-28,0.254
2007-02-02,2.032
2007-02-03,0.508
2007-02-17,1.524
2007-02-18,0.254
2007-03-02,0.508
2007-03-03,0.762
2007-03-05,0.254
2007-03-10,1.524
2007-03-11,0.254
2007-03-14,5.842
2007-03-15,3.810
2007-03-17,0.762
2007-03-18,3.302
2007-03-20,0.508
2007-03-22,3.302
2007-03-26,6.350
2007-03-27,1.016
2007-04-02,4.572
2007-04-03,1.778
2007-04-04,6.350
2007-04-05,9.398
2007-04-12,10.668
2007-04-13,2.794
2007-04-14,0.762
2007-04-15,12.700
2007-04-16,0.254
2007-04-23,0.254
2007-04-24,3.810
2007-04-27,2.286
2007-04-28,4.826
2007-04-29,1.524
2007-04-30,5.334
2007-05-11,1.524
2007-05-15,20.066
2007-05-16,43.688
2007-05-17,3.810
2007-05-20,14.986
2007-05-21,0.762
2007-05-27,6.096
2007-05-28,3.302
2007-05-30,2.540
2007-05-31,1.778
2007-06-01,5.334
2007-06-04,11.430
2007-06-05,22.352
2007-06-12,0.508
2007-06-17,2.032
2007-06-20,5.334
2007-06-22,8.128
2007-06-27,4.826
2007-06-28,23.114
2007-06-29,0.508
2007-07-01,0.762
2007-07-02,7.874
2007-07-04,4.064
2007-07-05,2.286
2007-07-06,1.270
2007-07-08,2.032
2007-07-09,10.160
2007-07-11,13.716
2007-07-13,7.874
2007-07-15,3.556
2007-07-19,15.748
2007-07-20,2.794
2007-07-27,4.318
2007-07-28,14.478
2007-08-03,7.112
2007-08-04,0.508
2007-08-06,18.542
2007-08-08,7.366
2007-08-13,5.588
2007-08-15,2.286
2007-08-16,2.286
2007-08-17,2.032
2007-08-18,2.286
2007-08-23,10.160
2007-08-24,11.430
2007-08-25,20.066
2007-08-26,1.270
2007-08-29,12.700
2007-08-30,1.778
2007-09-08,8.636
2007-09-09,1.778
2007-09-10,0.762
2007-09-11,17.018
2007-09-12,1.778
2007-09-15,15.748
2007-09-26,2.540
2007-09-27,7.620
2007-09-28,4.572
2007-10-06,5.080
2007-10-08,3.048
2007-10-09,0.508
2007-10-10,0.254
2007-10-11,1.016
2007-10-12,19.812
2007-10-13,1.270
2007-10-14,1.016
2007-10-19,12.954
2007-10-20,9.144
2007-10-23,24.130
2007-10-27,38.354
2007-10-28,0.762
2007-10-30,1.016
2007-11-01,0.254
2007-11-04,0.254
2007-11-06,13.462
2007-11-07,0.254
2007-11-12,0.508
2007-11-13,0.762
2007-11-15,22.860
2007-11-16,7.112
2007-11-20,2.032
2007-11-21,4.318
2007-11-22,15.240
2007-11-26,10.922
2007-11-27,3.810
2007-11-29,1.270
2007-11-30,0.508
2007-12-03,1.778
2007-12-04,2.540
2007-12-05,1.524
2007-12-06,0.508
2007-12-11,2.032
2007-12-12,2.286
2007-12-14,4.064
2007-12-18,1.016
2007-12-19,9.398
2007-12-20,3.810
2007-12-23,8.382
2007-12-24,0.762
2007-12-27,2.032
2007-12-28,0.508
2007-12-29,6.350
2007-12-31,8.128
2008-01-01,3.302
2008-01-02,0.254
2008-01-04,0.254
2008-01-05,0.254
2008-01-07,0.762
2008-01-08,1.270
2008-01-09,0.508
2008-01-11,14.986
2008-01-14,0.254
2008-01-15,2.032
2008-01-18,7.366
2008-01-20,0.508
2008-01-23,0.508
2008-01-26,0.762
2008-01-30,6.350
2008-01-31,0.254
2008-02-02,5.588
2008-02-03,4.826
2008-02-05,4.572
2008-02-06,0.762
2008-02-07,1.270
2008-02-08,1.270
2008-02-09,0.254
2008-02-10,2.032
2008-02-13,14.732
2008-02-15,0.508
2008-02-17,3.810
2008-02-18,3.810
2008-02-19,0.254
2008-02-22,0.254
2008-02-23,1.524
2008-02-26,4.318
2008-02-27,3.556
2008-02-29,0.508
2008-03-01,2.286
2008-03-03,0.762
2008-03-05,7.112
2008-03-07,3.048
2008-03-08,27.178
2008-03-09,3.048
2008-03-12,0.508
2008-03-14,0.762
2008-03-15,0.508
2008-03-16,1.270
2008-03-19,4.572
2008-03-20,18.034
2008-03-26,0.762
2008-03-31,1.016
2008-04-01,4.318
2008-04-04,12.700
2008-04-05,2.286
2008-04-11,0.508
2008-04-12,14.732
2008-04-23,2.794
2008-04-28,7.874
2008-04-29,25.908
2008-05-03,1.270
2008-05-04,4.318
2008-05-08,6.604
2008-05-18,0.254
2008-05-19,2.032
2008-05-20,0.254
2008-05-21,1.016
2008-05-22,0.254
2008-05-23,6.350
2008-05-26,0.508
2008-05-27,2.286
2008-05-31,30.734
2008-06-01,4.826
2008-06-02,11.176
2008-06-03,1.016
2008-06-04,8.636
2008-06-06,2.032
2008-06-08,8.382
2008-06-09,0.254
2008-06-10,24.130
2008-06-11,1.778
2008-06-14,4.572
2008-06-15,51.308
2008-06-16,21.844
2008-06-17,8.382
2008-06-18,2.540
2008-06-19,7.112
2008-06-20,0.508
2008-06-21,0.762
2008-06-22,2.286
2008-06-23,12.954
2008-06-24,2.794
2008-06-26,45.212
2008-06-27,10.668
2008-06-28,7.620
2008-06-29,3.048
2008-06-30,6.858
2008-07-03,8.636
2008-07-09,10.160
2008-07-10,8.128
2008-07-13,7.620
2008-07-14,1.270
2008-07-17,1.270
2008-07-18,10.414
2008-07-20,4.318
2008-07-22,4.572
2008-07-23,8.636
2008-07-24,14.986
2008-07-25,4.572
2008-07-26,3.556
2008-07-27,6.350
2008-07-31,37.846
2008-08-02,31.242
2008-08-03,18.542
2008-08-06,32.004
2008-08-07,3.810
2008-08-08,5.588
2008-08-11,0.762
2008-08-12,0.254
2008-08-13,3.048
2008-08-14,1.524
2008-08-15,2.032
2008-08-18,6.858
2008-08-19,8.636
2008-08-25,0.508
2008-08-30,2.032
2008-09-06,1.270
2008-09-07,0.254
2008-09-09,26.162
2008-09-12,4.826
2008-09-14,4.572
2008-09-15,0.762
