Date,Quantite
2004-03-20,1.524
2004-03-21,1.016
2004-03-24,1.016
2004-03-25,0.508
2004-03-26,2.286
2004-03-27,0.254
2004-03-31,0.508
2004-04-02,5.334
2004-04-04,3.048
2004-04-05,0.254
2004-04-06,0.762
2004-04-13,7.112
2004-04-14,10.160
2004-04-17,0.254
2004-04-18,0.508
2004-04-19,3.556
2004-04-20,32.004
2004-06-15,13.716
2004-06-18,1.016
2004-06-19,4.064
2004-06-22,3.556
2004-06-25,13.208
2004-06-29,0.508
2004-07-01,4.572
2004-07-02,1.524
2004-07-08,12.192
2004-07-12,3.556
2004-07-15,10.668
2004-07-16,14.732
2004-07-18,5.080
2004-07-19,0.508
2004-07-23,39.370
2004-07-28,0.254
2004-07-31,20.320
2004-08-01,18.796
2004-08-03,0.508
2004-08-04,1.270
2004-08-07,10.414
2004-08-08,5.588
2004-08-11,4.572
2004-08-12,39.624
2004-08-13,20.828
2004-08-14,0.254
2004-08-19,7.874
2004-08-21,5.588
2004-08-28,0.508
2004-08-29,19.558
2004-08-30,9.144
2004-08-31,25.146
2004-09-04,0.254
2004-09-07,4.064
2004-09-08,2.286
2004-09-09,24.384
2004-09-10,6.350
2004-09-25,1.778
2004-10-02,6.604
2004-10-04,1.778
2004-10-15,8.128
2004-10-16,17.780
2004-10-17,1.778
2004-10-18,0.508
2004-10-30,1.016
2004-10-31,4.826
2004-11-02,8.128
2004-11-03,1.524
2004-11-04,3.048
2004-11-05,9.652
2004-11-06,8.636
2004-11-07,0.254
2004-11-11,0.762
2004-11-19,0.508
2004-11-21,1.778
2004-11-22,0.254
2004-11-24,7.112
2004-11-25,20.320
2004-11-28,10.160
2004-12-01,23.622
2004-12-03,1.778
2004-12-04,0.254
2004-12-05,1.270
2004-12-07,7.112
2004-12-08,5.080
2004-12-10,3.302
2004-12-11,12.192
2004-12-13,1.270
2004-12-17,0.762
2004-12-22,1.016
2004-12-23,14.986
2004-12-29,0.508
2004-12-31,5.588
2005-01-01,2.032
2005-01-02,4.064
2005-01-03,0.508
2005-01-06,1.524
2005-01-07,2.540
2005-01-08,1.524
2005-01-10,0.762
2005-01-12,0.508
2005-01-14,14.224
2005-01-29,0.254
2005-02-08,6.858
2005-02-10,6.858
2005-02-14,0.762
2005-02-15,15.240
2005-02-16,3.302
2005-02-18,0.254
2005-02-21,0.254
2005-02-22,0.762
2005-03-01,1.524
2005-03-02,0.254
2005-03-06,1.778
2005-03-07,3.048
2005-03-08,2.794
2005-03-12,8.636
2005-03-13,0.762
2005-03-15,0.254
2005-03-16,0.508
2005-03-28,5.588
2005-03-31,2.540
2005-04-01,4.572
2005-04-02,14.986
2005-04-04,0.762
2005-04-06,0.254
2005-04-10,0.254
2005-04-15,0.254
2005-04-22,0.254
2005-05-02,0.254
2005-05-05,0.254
2005-05-11,1.016
2005-05-18,0.254
2005-05-20,0.254
2005-05-25,0.254
2005-05-31,3.048
2005-06-10,1.016
2005-06-13,0.254
2005-06-22,0.254
2005-06-29,1.524
2005-07-01,0.508
2005-07-05,4.572
2005-07-06,0.254
2005-07-09,9.398
2005-07-13,0.254
2005-07-16,0.254
2005-07-19,16.764
2005-07-22,3.048
2005-07-25,4.572
2005-07-26,3.048
2005-07-27,4.826
2005-08-01,0.762
2005-08-02,10.922
2005-08-10,3.302
2005-08-12,2.794
2005-08-13,1.778
2005-08-14,0.508
2005-08-17,0.508
2005-08-20,3.302
2005-08-21,1.016
2005-08-22,0.254
2005-08-24,1.016
2005-08-28,2.032
2005-08-30,0.762
2005-08-31,32.766
