Date,Quantite
2004-05-13,1.400
2004-05-18,6.700
2004-05-20,8.600
2004-05-21,0.100
2004-05-23,4.500
2004-05-24,29.700
2004-05-25,6.000
2004-05-26,5.200
2004-05-27,2.100
2004-05-28,13.800
2004-06-01,20.300
2004-06-02,3.100
2004-06-07,0.700
2004-06-09,0.700
2004-06-14,0.400
2004-06-15,22.400
2004-06-18,3.500
2004-06-19,3.800
2004-06-22,5.200
2004-06-25,17.000
2004-06-27,0.300
2004-06-29,2.100
2004-07-01,7.500
2004-07-02,0.200
2004-07-03,0.100
2004-07-05,1.100
2004-07-06,0.200
2004-07-07,0.100
2004-07-08,27.900
2004-07-09,3.000
2004-07-10,0.400
2004-07-12,4.100
2004-07-14,0.100
2004-07-15,15.300
2004-07-16,4.700
2004-07-17,0.100
2004-07-18,0.500
2004-07-19,0.600
2004-07-20,0.500
2004-07-22,0.700
2004-07-23,55.200
2004-07-28,0.600
2004-07-31,29.100
2004-08-01,17.600
2004-08-03,0.700
2004-08-04,0.400
2004-08-07,8.800
2004-08-08,1.900
2004-08-10,0.400
2004-08-11,7.300
2004-08-12,49.400
2004-08-13,25.600
2004-08-14,0.100
2004-08-17,0.100
2004-08-18,0.200
2004-08-19,5.900
2004-08-21,7.900
2004-08-27,0.200
2004-08-28,1.400
2004-08-29,32.000
2004-08-30,13.300
2004-08-31,39.300
2004-09-04,1.300
2004-09-07,5.600
2004-09-08,2.300
2004-09-09,30.800
2004-09-10,0.300
2004-09-11,0.200
2004-09-25,0.400
2004-09-30,0.100
2004-10-02,7.800
2004-10-04,1.300
2004-10-11,0.500
2004-10-15,5.300
2004-10-16,20.000
2004-10-17,1.700
2004-10-18,0.700
2004-10-30,1.500
2004-10-31,5.800
2004-11-01,0.100
2004-11-02,9.300
2004-11-03,2.300
2004-11-04,2.500
2004-11-05,12.300
2004-11-06,8.300
2004-11-07,1.400
2004-11-08,0.500
2004-11-11,0.700
2004-11-18,0.900
2004-11-19,0.500
2004-11-20,1.300
2004-11-21,2.000
